timestamp_ms,cpu_percent,memory_percent,threads
1,0.0,0.0,100
34,275,0.0,100
55,216,0.0,100
83,300,0.0,100
104,236,0.0,100
130,284,0.0,100
152,260,0.0,100
170,288,0.0,100
193,268,0.0,100
213,252,0.0,100
231,273,0.0,100
253,260,0.0,100
273,248,0.0,100
295,253,0.0,100
316,243,0.0,100
335,247,0.0,100
358,252,0.0,100
377,244,0.0,100
395,255,0.0,100
418,250,0.0,100
437,243,0.0,100
455,252,0.0,100
478,245,0.0,100
497,240,0.0,100
520,250,0.0,100
541,244,0.0,100
560,244,0.0,100
588,244,0.0,100
608,239,0.0,100
628,249,0.0,100
651,244,0.0,100
670,240,0.0,100
695,244,0.0,100
715,240,0.0,100
735,237,0.0,100
762,246,0.0,100
781,242,0.0,100
806,245,0.0,100
826,242,0.0,100
845,240,0.0,100
872,244,0.0,100
891,241,0.0,100
910,247,0.0,100
933,244,0.0,100
953,241,0.0,100
979,244,0.0,100
1002,242,0.0,100
1022,247,0.0,100
1044,244,0.0,100
1065,239,0.0,100
1091,244,0.0,100
1114,242,0.0,100
1133,246,0.0,100
1155,244,0.0,100
1176,239,0.0,100
1201,245,0.0,100
1221,242,0.0,100
1241,241,0.0,100
1266,242,0.0,100
1286,240,0.0,100
1312,244,0.0,100
1333,242,0.0,100
1352,240,0.0,100
1378,242,0.0,100
1397,240,0.0,100
1415,243,0.0,100
1439,241,0.0,100
1459,239,0.0,100
1485,242,0.0,100
1505,241,0.0,100
1524,243,0.0,100
1549,241,0.0,100
1568,240,0.0,100
1587,244,0.0,100
1615,240,0.0,100
1635,242,0.0,100
1657,242,0.0,100
1677,241,0.0,100
1697,244,0.0,100
1721,242,0.0,100
1740,240,0.0,100
1768,242,0.0,100
1788,240,0.0,100
1807,244,0.0,100
1828,242,0.0,100
1849,241,0.0,100
1868,243,0.0,100
1895,241,0.0,100
1915,243,0.0,100
1936,242,0.0,100
1957,240,0.0,100
1977,243,0.0,100
2004,242,0.0,100
2023,244,0.0,100
2044,243,0.0,100
2065,242,0.0,100
2090,243,0.0,100
2111,242,0.0,100
2130,241,0.0,100
2153,243,0.0,100
2182,241,0.0,100
2204,242,0.0,100
2225,240,0.0,100
2246,239,0.0,100
2265,241,0.0,100
2287,240,0.0,100
2307,239,0.0,100
2333,242,0.0,100
2356,239,0.0,100
2375,242,0.0,100
2402,241,0.0,100
2421,240,0.0,100
2447,242,0.0,100
2468,240,0.0,100
2493,242,0.0,100
2514,242,0.0,100
2534,242,0.0,100
2556,241,0.0,100
2577,240,0.0,100
2602,242,0.0,100
2624,241,0.0,100
2645,241,0.0,100
2669,241,0.0,100
2693,240,0.0,100
2721,242,0.0,100
2745,240,0.0,100
2766,242,0.0,100
2789,241,0.0,100
2809,240,0.0,100
2829,242,0.0,100
2851,241,0.0,100
2870,240,0.0,100
2896,241,0.0,100
2918,240,0.0,100
2937,242,0.0,100
2958,241,0.0,100
2978,240,0.0,100
3003,242,0.0,100
3024,241,0.0,100
3044,241,0.0,100
3068,241,0.0,100
3088,240,0.0,100
3108,242,0.0,100
3135,240,0.0,100
3155,240,0.0,100
3181,241,0.0,100
3201,240,0.0,100
3226,241,0.0,100
3247,240,0.0,100
3266,240,0.0,100
3290,241,0.0,100
3311,240,0.0,100
3337,241,0.0,100
3358,241,0.0,100
3377,241,0.0,100
3399,241,0.0,100
3424,240,0.0,100
3449,241,0.0,100
3471,240,0.0,100
3490,240,0.0,100
3517,241,0.0,100
3538,240,0.0,100
3556,241,0.0,100
3577,241,0.0,100
3596,240,0.0,100
3615,241,0.0,100
3637,240,0.0,100
3657,240,0.0,100
3683,241,0.0,100
3704,240,0.0,100
3723,241,0.0,100
3746,240,0.0,100
3767,240,0.0,100
3785,241,0.0,100
3810,240,0.0,100
3829,239,0.0,100
3848,241,0.0,100
3872,240,0.0,100
3892,239,0.0,100
3919,240,0.0,100
3938,240,0.0,100
3957,241,0.0,100
3978,240,0.0,100
3999,240,0.0,100
4019,241,0.0,100
4043,240,0.0,100
4062,240,0.0,100
4088,240,0.0,100
4108,239,0.0,100
4127,241,0.0,100
4154,240,0.0,100
4174,240,0.0,100
4200,240,0.0,100
4221,240,0.0,100
4241,241,0.0,100
4262,240,0.0,100
4283,240,0.0,100
4310,241,0.0,100
4331,240,0.0,100
4353,242,0.0,100
4377,240,0.0,100
4399,239,0.0,100
4426,240,0.0,100
4449,240,0.0,100
4468,241,0.0,100
4491,240,0.0,100
4512,239,0.0,100
4535,240,0.0,100
4557,240,0.0,100
4577,241,0.0,100
4599,241,0.0,100
4619,240,0.0,100
4638,241,0.0,100
4659,240,0.0,100
4683,240,0.0,100
4709,240,0.0,100
4731,240,0.0,100
4752,241,0.0,100
4775,240,0.0,100
4795,239,0.0,100
4818,240,0.0,100
4841,240,0.0,100
4860,240,0.0,100
4885,240,0.0,100
4906,239,0.0,100
4925,240,0.0,100
4946,240,0.0,100
4967,239,0.0,100
4993,240,0.0,100
5015,240,0.0,100
5036,240,0.0,100
5059,240,0.0,100
5080,239,0.0,100
5104,241,0.0,100
5124,240,0.0,100
5144,240,0.0,100
5169,240,0.0,100
5189,239,0.0,100
5209,240,0.0,100
5231,240,0.0,100
5251,239,0.0,100
5277,240,0.0,100
5298,239,0.0,100
5317,240,0.0,100
5341,240,0.0,100
5361,239,0.0,100
5388,240,0.0,100
5412,239,0.0,100
5437,240,0.0,100
5458,239,0.0,100
5478,239,0.0,100
5502,240,0.0,100
5521,240,0.0,100
5541,240,0.0,100
5563,240,0.0,100
5584,239,0.0,100
5603,240,0.0,100
5625,239,0.0,100
5644,239,0.0,100
